Date,Open,High,Low,Close,Volume,Day of Week,Day of Month,Month,NIFTY50,Range
2016-02-09,219.9868927001953,226.08441162109375,219.22470092773438,224.36947631835938,7938028.0,1,9,2,7215.7001953125,6.859710693359375
2016-02-10,223.7501983642578,226.5131378173828,216.36648559570312,224.56002807617188,7993844.0,2,10,2,6976.35009765625,10.146652221679688
2016-02-11,224.79820251464844,226.08441162109375,210.41188049316406,213.88937377929688,6456842.0,3,11,2,6980.9501953125,15.672531127929688
2016-02-12,215.3184814453125,218.51014709472656,201.1703338623047,207.22021484375,9838764.0,4,12,2,7162.9501953125,17.339813232421875
2016-02-15,211.50753784179688,236.2786865234375,211.50753784179688,235.04013061523438,14277116.0,0,15,2,7048.25,24.771148681640625
2016-02-16,237.80307006835938,239.7085418701172,231.6579132080078,233.27757263183594,9600586.0,1,16,2,7108.4501953125,8.050628662109375
2016-02-17,233.42047119140625,240.9470977783203,226.75132751464844,239.3750762939453,8706940.0,2,17,2,7191.75,14.195770263671875
2016-02-18,242.94784545898438,244.376953125,231.70555114746094,238.99398803710938,9928587.0,3,18,2,7210.75,12.671401977539062
2016-02-19,236.7550506591797,242.42384338378906,235.18304443359375,241.28054809570312,7106494.0,4,19,2,7234.5498046875,7.2407989501953125
2016-02-22,241.614013671875,245.32968139648438,239.80381774902344,243.18601989746094,5048966.0,0,22,2,7109.5498046875,5.5258636474609375
2016-02-23,243.7100372314453,249.23590087890625,240.18490600585938,241.56637573242188,8871662.0,1,23,2,7018.7001953125,9.050994873046875
2016-02-24,238.75579833984375,241.75692749023438,235.2783203125,236.18341064453125,4979154.0,2,24,2,6970.60009765625,6.478607177734375
2016-02-25,235.4212188720703,238.04124450683594,233.0393829345703,236.42160034179688,5865385.0,3,25,2,7029.75,5.001861572265625
2016-02-26,237.70779418945312,239.80381774902344,231.6579132080078,236.70741271972656,5601586.0,4,26,2,6987.0498046875,8.145904541015625
2016-02-29,235.23068237304688,251.1890106201172,233.5157470703125,237.32669067382812,10339095.0,0,29,2,7222.2998046875,17.673263549804688
2016-03-01,238.1841583251953,245.94895935058594,234.897216796875,244.9009552001953,7463999.0,1,1,3,7368.85009765625,11.051742553710938
2016-03-02,247.71153259277344,256.76251220703125,247.2351531982422,254.90469360351562,8024903.0,2,2,3,7475.60009765625,9.527359008789062
2016-03-03,260.09710693359375,275.34088134765625,259.2396240234375,273.4830627441406,18402857.0,3,3,3,7485.35009765625,16.10125732421875
2016-03-04,275.34088134765625,277.4369201660156,271.0535888671875,274.91217041015625,9625079.0,4,4,3,7485.2998046875,6.383331298828125
2016-03-08,274.1976013183594,282.6769714355469,273.4354248046875,278.008544921875,9742039.0,1,8,3,7531.7998046875,9.241546630859375
2016-03-09,270.100830078125,282.4864196777344,268.00482177734375,281.43841552734375,10662370.0,2,9,3,7486.14990234375,14.481597900390625
2016-03-10,282.2958679199219,287.01190185546875,279.4376525878906,282.6769714355469,8981462.0,3,10,3,7510.2001953125,7.574249267578125
2016-03-11,282.0100402832031,284.1060791015625,276.6270751953125,280.1522216796875,8012359.0,4,11,3,7538.75,7.47900390625
2016-03-14,281.96240234375,286.0591735839844,281.2955017089844,282.6769714355469,4665840.0,0,14,3,7460.60009765625,4.763671875
2016-03-15,282.9627685546875,287.7264709472656,280.1998596191406,286.2497253417969,7324218.0,1,15,3,7498.75,7.526611328125
2016-03-16,285.82098388671875,288.4410095214844,280.29510498046875,285.3446350097656,7388581.0,2,16,3,7512.5498046875,8.145904541015625
2016-03-17,290.1083068847656,291.2039489746094,280.9620361328125,281.9147644042969,8402664.0,3,17,3,7604.35009765625,10.241912841796875
2016-03-18,285.53515625,288.4410095214844,282.9151306152344,287.9170227050781,7677345.0,4,18,3,7704.25,5.52587890625
2016-03-21,287.7264709472656,291.4897766113281,286.4402770996094,289.2032165527344,5932080.0,0,21,3,7714.89990234375,5.04949951171875
2016-03-22,288.77447509765625,297.06329345703125,287.107177734375,295.1578063964844,6905443.0,1,22,3,7716.5,9.95611572265625
2016-03-23,297.06329345703125,302.8749694824219,295.87237548828125,302.20806884765625,6694160.0,2,23,3,7615.10009765625,7.002593994140625
2016-03-28,303.3513488769531,303.3513488769531,283.3438720703125,285.01116943359375,9519715.0,0,28,3,7597.0,20.007476806640625
2016-03-29,285.82098388671875,293.2047119140625,285.82098388671875,289.489013671875,6231692.0,1,29,3,7735.2001953125,7.38372802734375
2016-03-30,294.8243408203125,310.3539733886719,290.8704833984375,308.9725036621094,13055967.0,2,30,3,7738.39990234375,19.483489990234375
2016-03-31,309.54412841796875,309.54412841796875,299.5404052734375,304.58990478515625,14012188.0,3,31,3,7713.0498046875,10.00372314453125
2016-04-01,302.63677978515625,304.7328186035156,298.5400390625,302.7320556640625,5846336.0,4,1,4,7758.7998046875,6.192779541015625
2016-04-04,300.8742370605469,307.8291931152344,299.82623291015625,305.20916748046875,5424290.0,0,4,4,7603.2001953125,8.002960205078125
2016-04-05,301.9698791503906,304.3040771484375,293.72869873046875,297.5396423339844,6007172.0,1,5,4,7614.35009765625,10.57537841796875
2016-04-06,300.1120300292969,316.3085632324219,298.7305603027344,313.0216369628906,15314890.0,2,6,4,7546.4501953125,17.5780029296875
2016-04-07,314.3078308105469,317.0231018066406,306.87646484375,308.4008483886719,9036551.0,3,7,4,7555.2001953125,10.146636962890625
2016-04-08,307.7815856933594,309.4488525390625,303.9706115722656,306.87646484375,6382616.0,4,8,4,7671.39990234375,5.478240966796875
2016-04-11,306.78118896484375,317.547119140625,304.9233703613281,315.4987487792969,9462037.0,0,11,4,7708.9501953125,12.623748779296875
2016-04-12,308.5914001464844,315.26055908203125,302.9702453613281,309.16302490234375,11661444.0,1,12,4,7850.4501953125,12.290313720703125
2016-04-13,312.021240234375,320.31005859375,310.5921325683594,317.1183776855469,10794604.0,2,13,4,7914.7001953125,9.717926025390625
2016-04-18,316.2132873535156,321.3104248046875,312.1641540527344,319.6907653808594,7549816.0,0,18,4,7914.75,9.146270751953125
2016-04-20,321.97735595703125,342.3182678222656,321.7391662597656,340.55572509765625,19294099.0,2,20,4,7912.0498046875,20.5791015625
2016-04-21,341.8419189453125,346.8437805175781,336.41131591796875,337.79278564453125,10864121.0,3,21,4,7899.2998046875,10.432464599609375
2016-04-22,341.0797119140625,346.5579528808594,335.64910888671875,336.935302734375,12695922.0,4,22,4,7855.0498046875,10.908843994140625
2016-04-25,335.83966064453125,336.9829406738281,328.2654113769531,331.0283508300781,6465189.0,0,25,4,7962.64990234375,8.717529296875
2016-04-26,330.7425231933594,343.55682373046875,330.69488525390625,341.6513671875,8759295.0,1,26,4,7979.89990234375,12.8619384765625
2016-04-27,341.93719482421875,345.2717590332031,337.41168212890625,339.8887939453125,6326554.0,2,27,4,7847.25,7.860076904296875
2016-04-28,340.1269836425781,344.8906555175781,329.789794921875,331.1712646484375,10579181.0,3,28,4,7849.7998046875,15.100860595703125
2016-04-29,331.26654052734375,337.1734924316406,326.5028381347656,334.5058288574219,8191719.0,4,29,4,7805.89990234375,10.670654296875
2016-05-02,332.5050964355469,334.4105529785156,328.12249755859375,330.5519714355469,4388732.0,0,2,5,7747.0,6.288055419921875
2016-05-03,332.26690673828125,338.8407897949219,330.599609375,332.4098205566406,6690916.0,1,3,5,7706.5498046875,8.241180419921875
