Date,Open,High,Low,Close,Volume,Day of Week,Day of Month,Month,NIFTY50,Range
2016-02-16,3725.25,3748.949951171875,3651.199951171875,3705.199951171875,753873.0,1,16,2,7108.4501953125,97.75
2016-02-17,3679.89990234375,3755.0,3661.5,3749.14990234375,652019.0,2,17,2,7191.75,93.5
2016-02-18,3781.25,3796.85009765625,3622.10009765625,3653.25,1243826.0,3,18,2,7210.75,174.75
2016-02-19,3640.0,3640.0,3559.0,3579.14990234375,718677.0,4,19,2,7234.5498046875,81.0
2016-02-22,3539.0,3545.0,3491.550048828125,3520.800048828125,1291463.0,0,22,2,7109.5498046875,53.449951171875
2016-02-23,3530.0,3568.449951171875,3480.0,3487.39990234375,796836.0,1,23,2,7018.7001953125,88.449951171875
2016-02-24,3499.949951171875,3530.0,3480.0,3489.699951171875,605914.0,2,24,2,6970.60009765625,50.0
2016-02-25,3509.64990234375,3510.0,3401.0,3414.14990234375,840542.0,3,25,2,7029.75,109.0
2016-02-26,3452.0,3459.10009765625,3375.10009765625,3409.199951171875,831491.0,4,26,2,6987.0498046875,84.0
2016-02-29,3425.0,3434.949951171875,3193.25,3236.5,2218323.0,0,29,2,7222.2998046875,241.699951171875
2016-03-01,3200.89990234375,3510.0,3200.89990234375,3494.39990234375,1924803.0,1,1,3,7368.85009765625,309.10009765625
2016-03-02,3542.949951171875,3627.699951171875,3540.050048828125,3612.64990234375,1236996.0,2,2,3,7475.60009765625,87.64990234375
2016-03-03,3625.800048828125,3647.0,3578.0,3608.64990234375,742263.0,3,3,3,7485.35009765625,69.0
2016-03-04,3619.0,3619.0,3526.0,3555.10009765625,610234.0,4,4,3,7485.2998046875,93.0
2016-03-08,3552.949951171875,3598.949951171875,3450.60009765625,3462.64990234375,1100041.0,1,8,3,7531.7998046875,148.349853515625
2016-03-09,3454.85009765625,3600.0,3441.10009765625,3576.39990234375,752948.0,2,9,3,7486.14990234375,158.89990234375
2016-03-10,3600.0,3634.699951171875,3573.39990234375,3627.199951171875,1016572.0,3,10,3,7510.2001953125,61.300048828125
2016-03-11,3633.699951171875,3690.0,3616.050048828125,3641.199951171875,1002559.0,4,11,3,7538.75,73.949951171875
2016-03-14,3660.0,3684.0,3627.050048828125,3648.14990234375,483295.0,0,14,3,7460.60009765625,56.949951171875
2016-03-15,3670.0,3679.89990234375,3615.5,3654.550048828125,688839.0,1,15,3,7498.75,64.39990234375
2016-03-16,3650.0,3675.0,3637.5,3667.35009765625,459188.0,2,16,3,7512.5498046875,37.5
2016-03-17,3686.35009765625,3750.0,3620.0,3635.449951171875,710449.0,3,17,3,7604.35009765625,130.0
2016-03-18,3640.0,3649.699951171875,3557.050048828125,3621.39990234375,1073782.0,4,18,3,7704.25,92.64990234375
2016-03-21,3630.10009765625,3678.800048828125,3605.0,3669.550048828125,474712.0,0,21,3,7714.89990234375,73.800048828125
2016-03-22,3669.0,3735.949951171875,3652.0,3699.550048828125,713115.0,1,22,3,7716.5,83.949951171875
2016-03-23,3711.85009765625,3744.0,3666.449951171875,3736.0,586282.0,2,23,3,7615.10009765625,77.550048828125
2016-03-28,3759.0,3777.800048828125,3629.949951171875,3638.949951171875,743468.0,0,28,3,7597.0,147.85009765625
2016-03-29,3649.0,3769.0,3645.0,3729.949951171875,686482.0,1,29,3,7735.2001953125,124.0
2016-03-30,3745.0,3749.89990234375,3684.0,3727.449951171875,872340.0,2,30,3,7738.39990234375,65.89990234375
2016-03-31,3739.5,3748.75,3664.0,3716.300048828125,1223191.0,3,31,3,7713.0498046875,84.75
2016-04-01,3700.449951171875,3764.949951171875,3682.0,3723.199951171875,769731.0,4,1,4,7758.7998046875,82.949951171875
2016-04-04,3735.0,3751.5,3676.0,3683.25,299849.0,0,4,4,7603.2001953125,75.5
2016-04-05,3676.0,3696.89990234375,3536.5,3554.85009765625,826024.0,1,5,4,7614.35009765625,160.39990234375
2016-04-06,3568.0,3607.300048828125,3546.0,3573.050048828125,664480.0,2,6,4,7546.4501953125,61.300048828125
2016-04-07,3556.5,3556.5,3450.0,3471.0,1221608.0,3,7,4,7555.2001953125,106.5
2016-04-08,3460.0,3474.0,3418.5,3430.64990234375,1631533.0,4,8,4,7671.39990234375,55.5
2016-04-11,3437.0,3488.0,3423.0,3478.64990234375,970375.0,0,11,4,7708.9501953125,65.0
2016-04-12,3470.199951171875,3609.85009765625,3465.050048828125,3573.699951171875,1404427.0,1,12,4,7850.4501953125,144.800048828125
2016-04-13,3613.0,3745.35009765625,3606.60009765625,3731.60009765625,1107727.0,2,13,4,7914.7001953125,138.75
2016-04-18,3720.800048828125,3750.0,3680.0,3718.949951171875,999621.0,0,18,4,7914.75,70.0
2016-04-20,3724.35009765625,3724.35009765625,3651.0,3670.050048828125,1830988.0,2,20,4,7912.0498046875,73.35009765625
2016-04-21,3695.0,3737.25,3674.0,3705.300048828125,1928958.0,3,21,4,7899.2998046875,63.25
2016-04-22,3703.0,3833.0,3680.10009765625,3816.050048828125,1165761.0,4,22,4,7855.0498046875,152.89990234375
2016-04-25,3806.10009765625,3842.0,3715.14990234375,3727.949951171875,838216.0,0,25,4,7962.64990234375,126.85009765625
2016-04-26,3704.050048828125,3894.0,3691.89990234375,3871.550048828125,2782566.0,1,26,4,7979.89990234375,202.10009765625
2016-04-27,3841.10009765625,3932.75,3830.25,3859.39990234375,1388262.0,2,27,4,7847.25,102.5
2016-04-28,3819.0,3854.0,3735.10009765625,3747.949951171875,1821236.0,3,28,4,7849.7998046875,118.89990234375
2016-04-29,3742.0,3820.0,3725.0,3794.64990234375,962848.0,4,29,4,7805.89990234375,95.0
2016-05-02,3799.89990234375,3840.0,3751.60009765625,3830.85009765625,762337.0,0,2,5,7747.0,88.39990234375
2016-05-03,3840.800048828125,3879.0,3795.699951171875,3819.949951171875,795697.0,1,3,5,7706.5498046875,83.300048828125
2016-05-04,3800.0,3844.0,3796.050048828125,3811.550048828125,557609.0,2,4,5,7735.5,47.949951171875
2016-05-05,3825.0,3850.0,3802.0,3836.85009765625,485772.0,3,5,5,7733.4501953125,48.0
2016-05-06,3829.949951171875,3835.0,3802.0,3818.949951171875,411877.0,4,6,5,7866.0498046875,33.0
2016-05-09,3830.0,3878.0,3825.0,3846.5,771389.0,0,9,5,7887.7998046875,53.0
2016-05-10,3850.5,3897.050048828125,3835.10009765625,3844.800048828125,1094666.0,1,10,5,7848.85009765625,61.949951171875
2016-05-11,3800.0,3898.0,3790.0,3890.050048828125,679706.0,2,11,5,7900.39990234375,108.0
2016-05-12,3884.85009765625,3909.800048828125,3841.5,3854.199951171875,857976.0,3,12,5,7814.89990234375,68.300048828125
2016-05-13,3856.0,3877.89990234375,3828.0,3846.25,435056.0,4,13,5,7860.75,49.89990234375
2016-05-16,3870.0,3895.0,3840.0,3881.60009765625,878812.0,0,16,5,7890.75,55.0
2016-05-17,3891.050048828125,3969.0,3886.25,3950.699951171875,865028.0,1,17,5,7870.14990234375,82.75
2016-05-18,3928.800048828125,3939.0,3805.050048828125,3914.89990234375,1921044.0,2,18,5,7783.39990234375,133.949951171875
2016-05-19,3900.0,3940.0,3881.0,3926.60009765625,679821.0,3,19,5,7749.7001953125,59.0
2016-05-20,3883.800048828125,3959.0,3881.10009765625,3944.949951171875,485214.0,4,20,5,7731.0498046875,77.89990234375
2016-05-23,3964.0,3968.300048828125,3900.0,3913.85009765625,348354.0,0,23,5,7748.85009765625,68.300048828125
2016-05-24,3913.800048828125,3937.949951171875,3893.14990234375,3924.199951171875,283533.0,1,24,5,7934.89990234375,44.800048828125
2016-05-25,3948.0,4072.0,3940.0,4060.949951171875,842663.0,2,25,5,8069.64990234375,132.0
