Date,Open,High,Low,Close,Volume,Day of Week,Day of Month,Month,NIFTY50,Range
2016-01-01,1154.0,1165.0,1145.550048828125,1162.5,100178.0,4,1,1,7791.2998046875,19.449951171875
2016-01-04,1161.0,1173.699951171875,1137.800048828125,1149.699951171875,233101.0,0,4,1,7784.64990234375,35.89990234375
2016-01-05,1147.0,1157.5,1138.5,1147.5,302272.0,1,5,1,7741.0,19.0
2016-01-06,1149.0,1154.300048828125,1135.0,1137.199951171875,392164.0,2,6,1,7568.2998046875,19.300048828125
2016-01-07,1115.0,1136.550048828125,1115.0,1126.949951171875,316523.0,3,7,1,7601.35009765625,21.550048828125
2016-01-08,1139.75,1139.75,1122.0,1129.699951171875,366442.0,4,8,1,7563.85009765625,17.75
2016-01-11,1128.0,1128.0,1094.300048828125,1099.5,168277.0,0,11,1,7510.2998046875,33.699951171875
2016-01-12,1100.0,1108.800048828125,1088.699951171875,1100.300048828125,275705.0,1,12,1,7562.39990234375,20.10009765625
2016-01-13,1105.0,1116.5999755859375,1059.0,1084.449951171875,239949.0,2,13,1,7536.7998046875,57.5999755859375
2016-01-14,1075.5,1100.0,1065.0,1087.449951171875,366830.0,3,14,1,7437.7998046875,35.0
2016-01-15,1088.949951171875,1092.6500244140625,1062.5999755859375,1077.0999755859375,152999.0,4,15,1,7351.0,30.050048828125
2016-01-18,1077.9000244140625,1080.0,1036.0,1067.4000244140625,229101.0,0,18,1,7435.10009765625,44.0
2016-01-19,1064.8499755859375,1080.800048828125,1040.0,1070.699951171875,667040.0,1,19,1,7309.2998046875,40.800048828125
2016-01-20,1067.0,1079.050048828125,1041.6500244140625,1060.199951171875,359534.0,2,20,1,7276.7998046875,37.4000244140625
2016-01-21,1069.75,1076.0999755859375,1051.050048828125,1057.949951171875,337935.0,3,21,1,7422.4501953125,25.0499267578125
2016-01-22,1062.0,1091.0,1061.0,1081.8499755859375,162161.0,4,22,1,7436.14990234375,30.0
